"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","rejects a request carrying an invalid token","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","62","returns 404 for an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > GET /cards/{id}","functional/cards.spec.ts","",""
"","70","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","936","honours the optional description and defaultLists flag","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1418","marks a card as complete","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","1588","archives and then restores a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}/closed","functional/lists.spec.ts","",""
"","1194","is not supported by the Trello API","functional","2026-08-31","passed","2026-08-31","Lists endpoint > DELETE /lists/{id}","functional/lists.spec.ts","",""
"","60","returns 404 when deleting an unknown board","functional","2026-08-31","passed","2026-08-31","Boards endpoint > DELETE /boards/{id}","functional/boards.spec.ts","",""
"","1269","excludes archived lists when filtering by open","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /boards/{id}/lists","functional/lists.spec.ts","",""
"","1045","returns the board that was created","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","1035","archives the board when closed is set","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","116","rejects an empty name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","98","rejects a request with no idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","3458","GET /boards/{id}/lists stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","111","rejects an unknown idList","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1069","rejects a request with no name","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","1145","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","947","accepts non-Latin characters in the board name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1071","returns at least the documented default fields","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","1071","deletes a board and makes it unreachable","functional","2026-08-31","passed","2026-08-31","Boards endpoint > DELETE /boards/{id}","functional/boards.spec.ts","",""
"","117","returns the authenticated member for valid credentials","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","1298","updates the name and description","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","1242","returns the card that was created","functional","2026-08-31","passed","2026-08-31","Cards endpoint > GET /cards/{id}","functional/cards.spec.ts","",""
"","63","returns 404 for an unknown list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","6936","POST /cards stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","1622","updates the name and description","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","967","creates a board with only the required name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1259","creates a card with name, description and due date","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1485","places a card at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","5469","PUT /cards/{id} stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","71","returns 404 when updating an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","104","rejects a malformed id","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","3655","GET /boards/{id} stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","58","rejects a request with no idList","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1081","returns additional fields when fields=all is requested","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","73","rejects an unknown idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","998","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1094","creates the three default lists when defaultLists is true","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","66","rejects a request with no name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1905","moves a card to a different list on the same board","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","72","returns 404 when updating an unknown board","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","1799","deletes a card and makes it unreachable","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
"","2783","creates a board, list and card, updates the card, then removes everything","e2e","2026-08-31","passed","2026-08-31","Trello end-to-end workflow","e2e/workflow.spec.ts","",""
"","1352","archives a list via the closed field","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}","functional/lists.spec.ts","",""
"","77","returns 404 for a well-formed but unknown id","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","1261","renames a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}","functional/lists.spec.ts","",""
"","1063","creates a list on the given board","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","1122","places a list at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","105","rejects a request carrying an invalid key","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","2660","GET /members/me stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","1321","creates a card with idList as the only required parameter","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","61","returns 404 when deleting an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
